Rank,Company,City,Size,Industry,Stack_Match,Hiring_Potential,Priority,Best_Project_To_Pitch,Target_Role,Website,LinkedIn_Search
11,Vermeg,Tunis,1000+,Financial Software / B2B Fintech,Java Spring Boot React Node.js Distributed DB,High,🔥 TOP TARGET,Football Manager / Restaurant Management,Junior Software Engineer,https://vermeg.com,https://linkedin.com/company/vermeg
12,Sofrecom Tunisia (Orange),Tunis,800-1200,Telecom & Software Engineering,Mobile (Flutter/Android) Java Node.js Python,High,🔥 TOP TARGET,KabaadHub / Anti-Scroll,Junior Mobile Developer,https://sofrecom.com,https://linkedin.com/company/sofrecom-tunisie
13,Sopra HR / Sopra Steria,Tunis,500-1000,Enterprise Cloud & HR SaaS,Java React TypeScript Node.js SQL,High,🔥 TOP TARGET,Restaurant Management / Football Manager,Junior Software Engineer,https://soprasteria.com,https://linkedin.com/company/soprast-tunisie
14,Kumulus Water,Tunis & Sousse,15-35,IoT / ClimateTech / Hardware,IoT BLE Embedded C++ Python Node.js Mobile,High,🔥 TOP TARGET,Caredify BLE Telemetry,Junior IoT / Mobile Dev,https://kumuluswater.com,https://linkedin.com/company/kumulus-water
15,Cure Bionics,Sousse,10-25,HealthTech / MedTech Bionics,EMG Telemetry BLE Mobile (Flutter) Python,High,🔥 TOP TARGET,Caredify BLE Telemetry,Junior Mobile / HealthTech,https://curebionics.com,https://linkedin.com/company/cure-bionics
16,Digikare / Med.tn,Tunis,20-50,HealthTech & Telemedicine,Node.js React Flutter MongoDB MySQL WebSockets,High,🔥 TOP TARGET,Caredify / KabaadHub,Junior Full-Stack Developer,https://med.tn,https://linkedin.com/company/med-tn
17,Roamler Tunisia,Sousse & Tunis,50-100,Mobile Crowdsourcing & Field Data,Flutter Mobile Node.js React Cloud APIs,High,🔥 TOP TARGET,KabaadHub / Caredify,Junior Mobile Developer,https://roamler.com,https://linkedin.com/company/roamler
18,Dabchy,Tunis,15-30,E-commerce / Marketplace App,Flutter React Native Node.js PostgreSQL,High,🔥 TOP TARGET,KabaadHub Marketplace,Junior Mobile Developer,https://dabchy.com,https://linkedin.com/company/dabchy
19,TakiAcademy,Sousse & Tunis,100-250,EdTech / Real-Time Video & Learning,Node.js React Flutter WebSockets Redis,High,🔥 TOP TARGET,QuizApp / Soyf Tube,Junior Full-Stack Developer,https://takiacademy.com,https://linkedin.com/company/takiacademy
20,Galactech,Sousse,20-50,Mobile Gaming & Esports,Flutter Mobile Game Dev Node.js Socket.IO,High,🔥 TOP TARGET,Football Manager / Zombie Game,Junior Game / Mobile Dev,https://galactechstudio.com,https://linkedin.com/company/galactech-studios
21,InstaDeep,Tunis,200+,AI / Cloud Systems,Python React AI Distributed Systems,High,🟢 HIGH PRIORITY,Caredify AI / Mkarchi,Junior Software Engineer,https://instadeep.com,https://linkedin.com/company/instadeep
22,Telnet Holding,Tunis / Sfax,500+,IoT & Embedded Systems,Embedded C/C++ Java Linux IoT,High,🟢 HIGH PRIORITY,Anti-Scroll / Caredify,Junior Embedded/Software Dev,https://groupe-telnet.com,https://linkedin.com/company/groupe-telnet
23,Medianet,Tunis,100+,Web & Mobile Digital Platforms,PHP Symfony React Mobile MySQL,High,🟢 HIGH PRIORITY,Car4Cra / KabaadHub,Junior Full-Stack Developer,https://medianet.tn,https://linkedin.com/company/medianet
24,Talan Tunisia,Tunis,600+,Fintech & Cloud Consulting,Java React Node.js Microservices Cloud,High,🟢 HIGH PRIORITY,Football Manager / Caredify,Junior Software Engineer,https://talan.com,https://linkedin.com/company/talan-tunisie
25,Actia Engineering Services,Tunis,400+,Automotive Embedded & Telemetry,Embedded Linux C/C++ Java Telemetry,High,🟢 HIGH PRIORITY,Anti-Scroll / Caredify,Junior Software Developer,https://actia.com,https://linkedin.com/company/actia-engineering-services
26,Linedata Tunisia,Tunis,300+,Asset Management Fintech,Java TypeScript C++ SQL Financial SaaS,High,🟢 HIGH PRIORITY,Restaurant Management,Junior Software Engineer,https://linedata.com,https://linkedin.com/company/linedata
27,NeoXam Tunisia,Tunis,200+,Financial Data Software,Java C++ SQL React Data Management,High,🟢 HIGH PRIORITY,Restaurant Management,Junior Software Engineer,https://neoxam.com,https://linkedin.com/company/neoxam
28,Cynapsys by Apside,Ariana,250+,Nearshore Software Engineering,Java Node.js React Mobile Apps,High,🟢 HIGH PRIORITY,KabaadHub / Caredify,Junior Full-Stack Developer,https://apside.com,https://linkedin.com/company/cynapsys
29,Enova Robotics,Sousse,30+,Autonomous Robotics,Embedded C++ Python Computer Vision,High,🟢 HIGH PRIORITY,Anti-Scroll / Mkarchi,Junior Software/Robotics Dev,https://enovarobotics.eu,https://linkedin.com/company/enova-robotics
30,Think-IT (Andela),Tunis,100+,Nearshore Cloud & Software,TypeScript Node.js React Python Cloud,High,🟢 HIGH PRIORITY,Mkarchi / QuizApp,Junior Software Engineer,https://think-it.io,https://linkedin.com/company/think-it
31,Spark IT,Tunis,30+,Nearshore Mobile & Web,Flutter React Node.js Mobile,High,🟢 HIGH PRIORITY,KabaadHub / QuizApp,Junior Mobile / Full-Stack,https://spark-it.net,https://linkedin.com/company/spark-it
32,Zeta-Box,Sfax,30+,Custom Software & AI,Web Mobile AI Agents Python Node.js,Moderate,🟢 HIGH PRIORITY,Mkarchi / KabaadHub,Junior Full-Stack Developer,https://zeta-box.com,https://linkedin.com/company/zeta-box
33,Phoenix ITS,Sfax,50+,Custom Software & Cloud,Java Web Mobile ERP Dev Pods,Moderate,🟢 HIGH PRIORITY,Restaurant Management,Junior Software Developer,https://phoenixits.com,https://linkedin.com/company/phoenix-its
34,Expert Dev,Sfax,30+,Web & Mobile Engineering,React Node.js Flutter PHP Web,Moderate,🟢 HIGH PRIORITY,KabaadHub / Car4Cra,Junior Full-Stack Developer,https://expert-dev.tn,https://linkedin.com/company/expert-dev
35,ZNet-IT,Sfax,25+,Outsourcing & Mobile Apps,Web Mobile Apps Flutter Node.js,Moderate,🟢 HIGH PRIORITY,KabaadHub / QuizApp,Junior Mobile Developer,https://znet.tn,https://linkedin.com/company/znet-it
36,LSKSoft,Tunis,40+,Mobile & Software Engineering,Flutter Node.js Mobile Apps AI,Moderate,🟢 HIGH PRIORITY,Caredify / KabaadHub,Junior Mobile Developer,https://lsksoft.com,https://linkedin.com/company/lsksoft
37,ITGate Group,Tunis,50+,Mobile App Dev & IT,Flutter React Native Node.js Java,Moderate,🟢 HIGH PRIORITY,KabaadHub / Caredify,Junior Mobile Developer,https://itgate-group.com,https://linkedin.com/company/itgate-group
38,Chifco,Tunis,40+,IoT & Connected Devices,IoT Telemetry Node.js Mobile Backend,Moderate,🟢 HIGH PRIORITY,Caredify BLE Telemetry,Junior IoT / Full-Stack,https://chifco.com,https://linkedin.com/company/chifco
39,Winshot,Tunis,25+,Retail Operations SaaS,Mobile App Web Node.js React,Moderate,🟢 HIGH PRIORITY,KabaadHub Admin / QuizApp,Junior Full-Stack Developer,https://winshot.net,https://linkedin.com/company/winshot
40,Viamobile,Tunis,35+,Fintech Mobile Payments,Mobile Payments Java Node.js,Moderate,🟢 HIGH PRIORITY,KabaadHub / Caredify,Junior Mobile / Backend,https://viamobile.tn,https://linkedin.com/company/viamobile
41,Ahmini,Kairouan / Tunis,15+,Insurtech & Social Fintech,Mobile App Node.js Cloud,Moderate,🟢 HIGH PRIORITY,KabaadHub / Caredify,Junior Mobile Developer,https://ahmini.tn,https://linkedin.com/company/ahmini
42,MonResto,Tunis,50+,Food Logistics Platform,Mobile App WebSockets Node.js,Moderate,🟢 HIGH PRIORITY,Restaurant Management / KabaadHub,Junior Mobile / Full-Stack,https://monresto.net,https://linkedin.com/company/monresto
43,Vynd,Tunis,20+,Local Discovery App,Flutter Mobile Node.js Cloud,Moderate,🟢 HIGH PRIORITY,KabaadHub,Junior Mobile Developer,https://vynd.com,https://linkedin.com/company/vynd
44,Artify,Tunis,20+,Streaming & Media Platform,Video Streaming React Node.js Mobile,Moderate,🟢 HIGH PRIORITY,Soyf Tube / Soyf Music,Junior Full-Stack Developer,https://artify.tn,https://linkedin.com/company/artify
45,Neapolis Dev,Nabeul / Tunis,25+,Software Engineering,Full-Stack Web Mobile React Node.js,Moderate,🟢 HIGH PRIORITY,Car4Cra / KabaadHub,Junior Full-Stack Developer,https://neapolis-dev.com,https://linkedin.com/company/neapolis-dev
46,Roamsys,Tunis,30+,Telecom Data SaaS,Java SQL Cloud Web Data,Moderate,🟢 HIGH PRIORITY,Restaurant Management,Junior Backend Engineer,https://roamsys.com,https://linkedin.com/company/roamsys
47,BCloud,Tunis,25+,Cloud & DevOps,Cloud Architectures Node.js Linux,Moderate,🟢 HIGH PRIORITY,Mkarchi / Render,Junior Cloud / Backend,https://bcloud.tn,https://linkedin.com/company/bcloud
48,Cognira,Tunis,40+,Retail AI & Data Analytics,Python React SQL Cloud Analytics,Moderate,🟢 HIGH PRIORITY,Mkarchi / Football Manager,Junior Software Engineer,https://cognira.com,https://linkedin.com/company/cognira
49,Oxahost,Sousse,30+,Web Hosting & Cloud,Web Infrastructure PHP Linux,Moderate,🟢 HIGH PRIORITY,Car4Cra / Mkarchi,Junior Systems / Web Dev,https://oxahost.tn,https://linkedin.com/company/oxahost
50,Advansys,Tunis,40+,Enterprise Software Solutions,Full-Stack Java Mobile SQL,Moderate,🟢 HIGH PRIORITY,Restaurant Management,Junior Full-Stack Developer,https://advansys.tn,https://linkedin.com/company/advansys
